时间	shíjiān	time; period	
服	fú, fù	"clothing; serve; obey; to convince; be used to
(Chinese medicine) (mw for dose)"	
衣	yī	clothing (Kangxi radical 145)	
衣服	yīfu	clothes	
习	xí	to practice; be used to; custom	
火车站	huǒchēzhàn	train station	
儿	ér	child; son (Kangxi radical 10)	
点	diǎn	a dot; a point; a bit; a little; o'clock	
有	yǒu	have; there is	
医院	yīyuàn	hospital	
回	huí	to return; to reply; to go back; (mw for matters or actions)	
苹	píng	apple	
苹果	píngguǒ	apple	
百万	bǎiwàn	one million (1,000,000)	
是的	shìde	yes	
厶	sī	private (Kangxi radical 28); cocoon	
睡	shuì	to sleep	
睡觉	shuì jiào	to sleep; go to bed	
哦	ò, ó, é	"oh (indicates understanding)
oh (indicates doubt)
to chant"	
学校	xuéxiào	school	
开	kāi	to open; to start; to turn on; to operate (a vehicle)	
开车	kāichē	drive a car, train, etc.	
生	shēng	be born; give birth; life; raw (Kangxi radical 100)	
先	xiān	first; early; before	
先生	xiānsheng	Mr.; Sir	
叶	yè	leaf; page; epoch; harmonize	
会	huì, kuài	"can; know how; be good at; be likely to; meeting; conference
accounts"	
还	hái, huán	"still; yet; in addition; even
repay; to return"	
也	yě	also; too	
商店	shāngdiàn	shop; store	
枝	zhī	branch; twig; (mw for sticks, rods, pencils)	
来	lái	come; arrive; ever since; next	
百	bǎi	hundred	
腐	fǔ	decay; rotten; spoil	
没	méi, mò	"not have; there is not; (negative prefix for verbs)
to drown; submerge"	
没有	méiyǒu	not have; there is not; haven't; hasn't	
三	sān	three	
喜羊羊	xǐyángyáng	Pleasant Goat; Happy Goat	
龙	lóng	dragon (Kangxi radical 212)	
千万	qiānwàn	ten million; be sure to; must	
爸	bà	father; dad; pa	
吗	ma	(question particle for yes/no questions)	
好	hǎo, hào	"good; well; nice; very; quite
be fond of"	
好吗	hǎoma	okay? good?	
客	kè	guest; customer	
但是	dànshì	but; however	
讠	yán	speech (Kangxi radical 149, standing variant)	
坐	zuò	sit; take a seat	
土豆	tǔdòu	potato	
医	yī	medical; medicine; doctor; to cure	
身	shēn	body; torso; person (Kangxi radical 158)	
不	bù	no; not	
影	yǐng	shadow; reflection; image; picture; film	
电影	diànyǐng	movie; film	
蕉	jiāo	banana; plantain	
这里	zhèli	here	
大	dà, dài	"big; large (Kangxi radical 37)
person of importance"	
马	mǎ	horse (Kangxi radical 187)	
这样	zhèyàng	this way; this (kind of, sort of); like this	
狼	láng	wolf	
太	tài	too (much); excessively; highest; greatest	
写	xiě	to write; to compose	
弓	gōng	bow (weapon) (Kangxi radical 57)	
对不起	duìbuqǐ	sorry	
饣	shí	eat; food (Kangxi radical 184, standing variant)	
气	qì	air; anger; steam; gas; spirit (Kangxi radical 84)	
不客气	bú kèqi	you're welcome; don't be polite; impolite	
说话	shuōhuà	to talk; speak	
事	shì	matter; affair; thing; business	
哥哥	gēge	older brother	
十一	shíyī	11	
儿子	érzi	son	
莓	méi	strawberry; berry	
色	sè	color (Kangxi radical 139)	
东西	dōngxi	thing; objects; stuff; (-xī: east and west)	
艮	gèn, gěn	"one of the eigth trigrams; (Kangxi radical 138) extend; stretch
(regional) straightforward; forthright (of food) tough"	
高兴	gāoxìng	happy; glad; willing (do something)	
住	zhù	to live; reside; to stop	
块	kuài	lump; (mw: piece, chunk, sum of money)	
妹妹	mèimei	younger sister	
羊	yáng	sheep (Kangxi radical 123)	
羊肉	yángròu	mutton; lamb	
坚	jiān	strong; solid; firm	
岁	suì	years old	
饭	fàn	food; meal; cooked rice	
米	mǐ	rice; meter (Kangxi radical 119)	
炒	chǎo	to stir-fry; saute	
炒米饭	chǎo mǐfàn	fried rice	
一个	yíge	one; a	
力	lì	power; force; strength (Kangxi radical 19)	
寸	cùn	inch; (unit of length) (Kangxi radical 41); thumb	
不能	bùnéng	be unable	
不是	búshi	no; not be; mistake; blame	
前面	qiánmiàn	in front; fore; at the head	
上午	shàngwǔ	late morning (before noon)	
彳	chì	step (Kangxi radical 60)	
好的	hǎode	OK; okay; fine	
洋葱	yángcōng	onion	
天气	tiānqì	weather	
很好	hěnhǎo	very good	
茶	chá	tea	
