Downloaded from http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2880003/

"Total word count: 33,546,516"
"Context number: 6,243"
Word WCount W/million logW W-CD W-CD% logW-CD
的	1682530	50155.13	6.226	6243	100	3.7954
我	1682285	50147.83	6.2259	6242	99.98	3.7953
你	1329424	39629.27	6.1237	6242	99.98	3.7953
是	947807	28253.52	5.9767	6243	100	3.7954
了	946365	28210.53	5.9761	6243	100	3.7954
不	689161	20543.44	5.8383	6242	99.98	3.7953
在	429766	12811.05	5.6332	6242	99.98	3.7953
他	397653	11853.78	5.5995	6237	99.9	3.795
我们	371696	11080.02	5.5702	6241	99.97	3.7953
好	334698	9977.13	5.5247	6241	99.97	3.7953
有	289109	8618.15	5.4611	6242	99.98	3.7953
这	286987	8554.9	5.4579	6241	99.97	3.7953
就	276636	8246.34	5.4419	6243	100	3.7954
会	265929	7927.17	5.4248	6242	99.98	3.7953
吗	249187	7428.1	5.3965	6107	97.82	3.7858
要	238656	7114.18	5.3778	6242	99.98	3.7953
什么	236517	7050.42	5.3739	6224	99.7	3.7941
说	226955	6765.38	5.3559	6242	99.98	3.7953
她	221420	6600.39	5.3452	6134	98.25	3.7877
想	212185	6325.1	5.3267	6240	99.95	3.7952
一	203626	6069.96	5.3088	6240	99.95	3.7952
很	200584	5979.28	5.3023	6239	99.94	3.7951
知道	196745	5864.84	5.2939	6238	99.92	3.795
人	194914	5810.26	5.2898	6239	99.94	3.7951
吧	194084	5785.52	5.288	6238	99.92	3.795
那	190087	5666.37	5.279	6238	99.92	3.795
来	185154	5519.32	5.2675	6239	99.94	3.7951
都	177619	5294.71	5.2495	6237	99.9	3.795
个	173905	5184	5.2403	6239	99.94	3.7951
能	166656	4967.91	5.2218	6239	99.94	3.7951
去	163054	4860.53	5.2123	6239	99.94	3.7951
没	159508	4754.83	5.2028	6239	99.94	3.7951
和	150418	4483.86	5.1773	6214	99.54	3.7934
他们	140460	4187.02	5.1476	6199	99.3	3.7923
到	139534	4159.42	5.1447	6238	99.92	3.795
对	132805	3958.83	5.1232	6229	99.78	3.7944
也	131801	3928.9	5.1199	6236	99.89	3.7949
啊	130963	3903.92	5.1171	6126	98.13	3.7872
还	130326	3884.93	5.115	6235	99.87	3.7948
把	124534	3712.28	5.0953	6234	99.86	3.7948
让	123809	3690.67	5.0928	6230	99.79	3.7945
做	122364	3647.59	5.0877	6226	99.73	3.7942
给	117218	3494.19	5.069	6235	99.87	3.7948
一个	116726	3479.53	5.0672	6228	99.76	3.7943
上	114371	3409.33	5.0583	6238	99.92	3.795
你们	112946	3366.85	5.0529	6171	98.85	3.7904
过	112388	3350.21	5.0507	6236	99.89	3.7949
没有	108237	3226.48	5.0344	6218	99.6	3.7937
得	105189	3135.62	5.022	6215	99.55	3.7934
看	102546	3056.83	5.0109	6235	99.87	3.7948
真	102445	3053.82	5.0105	6224	99.7	3.7941
