1,3-1,阿姨,a1 yi2,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[ge4],
2,3-2,啊,a5,"modal particle ending sentence, showing affirmation, approval, or consent",
3,3-3,矮,ai3,low; short (in length),
4,1-1,爱,ai4,to love; affection; to be fond of; to like,
5,3-5,爱好,ai4 hao4,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4],
6,4-6,爱情,ai4 qing2,romance; love (romantic); CL:個|个[ge4],
7,3-6,安静,an1 jing4,quiet; peaceful; calm,
8,4-8,安排,an1 pai2,to arrange; to plan; to set up,
9,4-9,安全,an1 quan2,safe; secure; safety; security,
10,4-10,暗,an4,dark; gloomy; hidden; secret; muddled; obscure; in the dark,
11,4-11,按时,an4 shi2,on time; before deadline; on schedule,
12,4-12,按照,an4 zhao4,according to; in accordance with; in the light of; on the basis of,
13,1-2,八,ba1,eight; 8,
14,3-8,把,ba3,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,
15,1-3,爸爸,ba4 ba5,"(informal) father; CL:個|个[ge4],位[wei4]",
16,2-4,吧,ba5,(modal particle indicating polite suggestion); ...right?; ...OK?,
17,2-5,白,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,
18,2-6,百,bai3,hundred; numerous; all kinds of; surname Bai,
19,3-13,班,ban1,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[ge4],
20,3-14,搬,ban1,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,
21,3-15,半,ban4,half; semi-; incomplete; (after a number) and a half,
22,3-16,办法,ban4 fa3,"means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]",
23,3-17,办公室,ban4 gong1 shi4,an office; business premises; a bureau; CL:間|间[jian1],
24,3-18,帮忙,bang1 mang2,to help; to lend a hand; to do a favor; to do a good turn,
25,2-7,帮助,bang1 zhu4,assistance; aid; to help; to assist,
26,3-20,包,bao1,"to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[ge4],隻|只[zhi1]",
27,4-27,包括,bao1 kuo4,to comprise; to include; to involve; to incorporate; to consist of,
28,3-21,饱,bao3,to eat till full; satisfied,
29,4-29,保护,bao3 hu4,to protect; to defend; to safeguard; protection; CL:種|种[zhong3],
30,4-30,保证,bao3 zheng4,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[ge4],
31,4-31,抱,bao4,to hold; to carry (in one's arms); to hug or embrace; surround; cherish,
32,4-32,抱歉,bao4 qian4,sorry; We apologize!; to feel apologetic; to regret,
33,4-33,报道,bao4 dao4,"report; CL:篇[pian1],份[fen4]",
34,4-34,报名,bao4 ming2,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,
35,2-8,报纸,bao4 zhi3,"newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]",
36,1-4,杯子,bei1 zi5,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",
37,3-24,北方,bei3 fang1,north; the northern part a country; China north of the Yellow River,
38,1-5,北京,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government",
39,4-39,倍,bei4,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",
