62,3-62,除了,chu2 le5,besides; apart from (... also...); in addition to; except (for),,
63,2-23,穿,chuan1,to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread,,
64,2-24,船,chuan2,"a boat; vessel; ship; CL:條|条[tiao2],艘[sou1],隻|只[zhi1]",,
65,3-65,春,chun1,spring (time); gay; joyful; youthful; love; lust; life,,
66,3-66,词语,ci2 yu3,word (general term including monosyllables through to short phrases); term (e.g. technical term); expression,,
67,2-25,次,ci4,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",,
68,3-68,聪明,cong1 ming5,acute (of sight and hearing); clever; intelligent; bright; smart,,
69,2-26,从,cong2,"from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. zong4 and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; surname Cong",,
70,2-27,错,cuo4,mistake; error; blunder; fault; cross; uneven; wrong; CL:個|个[ge4],,
71,1-13,打电话,da3 dian4 hua4,to make a telephone call,,
72,2-29,打篮球,da3 lan2 qiu2,play basketball,,
73,3-73,打扫,da3 sao3,to clean; to sweep,,
74,3-74,打算,da3 suan4,to plan; to intend; to calculate; plan; intention; calculation; CL:個|个[ge4],,
75,1-14,大,da4,big; huge; large; major; great; wide; deep; oldest; eldest,,
76,2-31,大家,da4 jia1,authority; everyone,,
77,3-77,带,dai4,band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to lead; to bring; to look after; to raise,,
78,3-78,担心,dan1 xin1,anxious; worried; uneasy; to worry; to be anxious,,
79,3-79,蛋糕,dan4 gao1,"cake; CL:塊|块[kuai4],個|个[ge4]",,
80,2-32,但是,dan4 shi4,but; however,,
81,3-81,当然,dang1 ran2,only natural; as it should be; certainly; of course; without doubt,,
82,2-33,到,dao4,to (a place); until (a time); up to; to go; to arrive,,
83,3-83,地,de5,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct",,
84,1-15,的,de5,"of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive",,
85,2-35,得,de5,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc",,
86,3-86,灯,deng1,lamp; light; lantern; CL:盞|盏[zhan3],,
87,2-36,等,deng3,to wait for; to await,,
88,3-88,低,di1,low; beneath; to lower (one's head); to let droop; to hang down; to incline,,
89,2-37,弟弟,di4 di5,"younger brother; CL:個|个[ge4],位[wei4]",,
90,3-90,地方,di4 fang1,region; regional (away from the central administration),,
91,3-91,地铁,di4 tie3,subway; metro,,
92,3-92,地图,di4 tu2,"map; CL:張|张[zhang1],本[ben3]",,
93,2-38,第一,di4 yi1,first; number one,,
94,1-16,点,dian3,drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities,,
95,1-17,电脑,dian4 nao3,computer; CL:臺|台[tai2],,
96,1-18,电视,dian4 shi4,"television; TV; CL:臺|台[tai2],個|个[ge4]",,
97,3-97,电梯,dian4 ti1,"elevator; CL:臺|台[tai2],部[bu4]",,
98,1-19,电影,dian4 ying3,"movie; film; CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",,
99,3-99,电子邮件,dian4 zi3 you2 jian4,electronic mail; email; CL:封[feng1],,
100,3-100,东,dong1,east; host (i.e. sitting on east side of guest); landlord; surname Dong,,
