扯,手止
魄,白鬼
剖,咅刀
咅,立口
仆,人卜
攵,又卜
扑,手卜
铺,金甫
匍,勹甫
菩,艹咅
葡,艹匍
蒲,艹浦
朴,木卜
圃,囗甫
浦,水甫
普,並日
溥,水尃
谱,言普
瀑,水暴
七,七
妻,又女
柒,水七木
凄,冫妻
栖,木西
戚,戊上小
桼,木入水
期,其月
欺,其欠
嘁,口戚
漆,水桼
齐,齐
其,其
奇,大可
歧,止支
祈,示斤
耆,老日
脐,月齐
崎,山奇
畦,田圭
骑,马奇
棋,木其
旗,於其
鳍,鱼耆
乞,人乙
企,人止
岂,山己
启,户口
起,走己
气,气
迄,辶乞
弃,子廾
汽,水气
泣,水立
咠,口耳
契,丰刀大
砌,石切
荠,艹齐
器,口犬
掐,手臽
恰,心合
洽,水合
千,十
迁,辶千
佥,亼兴
臤,二又
牵,大冖牛
铅,金几口
谦,言兼
签,竹佥
前,月刀
钱,金戋
钳,金甘
乾,倝乙
潜,水替
黔,黑今
凵,凵
浅,水戋
遣,追中
谴,言遣
欠,欠
嵌,山甘欠
歉,兼欠
呛,口仓
枪,木仓
腔,月空
强,弓虽
墙,土啬
抢,手仓
悄,心肖
跷,足尧
敲,高攵
锹,金秋
乔,夭八
侨,人乔
荞,艹乔
桥,木乔
憔,心焦
瞧,目焦
巧,工丂
俏,人肖
峭,山肖
窍,穴巧
翘,尧羽
撬,手毛
切,七刀
茄,艹加
且,且
妾,立女
怯,心去
窃,穴切
亲,辛木
侵,人唚
钦,金欠
芹,艹斤
秦,丰禾
琴,王今
禽,人离
勤,堇力
擒,手禽
寝,宀片唚
唚,帚又
青,生月
氢,气巠
轻,车巠
倾,人顷
卿,卯皀
清,水青
蜻,虫青
情,心青
晴,日青
擎,敬手
顷,匕页
请,言青
庆,广大
穷,穴力
琼,王京
丘,丘
秋,禾火
蚯,虫丘
囚,囗人
求,求
酋,八酉
球,王求
区,匚乂
曲,曲
岖,山区
驱,马区
屈,尸出
蛆,虫且
躯,身区
趋,走刍
渠,水巨木
取,耳又
娶,取女
去,土厶
趣,走取
圈,囗卷
全,人王
权,木又
泉,白水
拳,半手
痊,疒全
犬,犬
劝,又力
券,半刀
缺,缶夬
瘸,疒加肉
却,去卩
雀,小隹
确,石角
鹊,昔鸟
夋,允夂
裙,衣君
群,君羊
然,月犬火
燃,火然
冄,冄
染,水九木
瓤,襄瓜
嚷,口襄
壤,土襄
攘,手襄
让,言上
饶,食尧
扰,手尤
绕,糸尧
惹,若心
热,执火
人,人
仁,人二
壬,壬
忍,刃心
刃,刀
认,言人
任,人壬
纫,糸刃
韧,韦刃
扔,手乃
仍,人乃
日,日
戎,十戈
绒,糸戎
茸,艹耳
荣,芁木
容,宀谷
溶,水容
蓉,艹容
榕,木容
熔,火容
融,鬲虫
冗,冖几
柔,矛木
揉,手柔
蹂,足柔
肉,肉
如,女口
儒,人需
蠕,虫需
乳,孚乚
辱,辰寸
入,入
褥,衣辱
软,车欠
蕊,艹心
锐,金兑
瑞,王耑
闰,门王
润,水闰
若,艹右
弱,弓二
撒,手散
洒,水西
飒,立风
萨,艹阜产
塞,宑土
腮,月思
赛,宑贝
三,一
叁,参
伞,伞
散,廿月攵
桑,双木
嗓,口桑
丧,土衣
搔,手蚤
骚,马蚤
臊,月喿
扫,手彐
嫂,女叟
色,人卩
涩,水刃止
啬,来回
瑟,王必
森,木
僧,人曾
杀,乂木
沙,水少
纱,糸少
刹,杀刀
砂,石少
傻,俊囟
啥,口舍
煞,刍攵火
霎,雨妾
筛,竹师
晒,日西
山,山
彡,彡
删,册刀
杉,木彡
衫,衣彡
珊,王册
闪,门人
陕,阜夹
苫,艹占
扇,户羽
善,羊口
擅,手亶
膳,月善
赡,贝詹
伤,人人力
商,辛冏
裳,尚衣
晌,日向
赏,尚贝
上,上
尚,八向
捎,手肖
梢,木肖
烧,火尧
稍,禾肖
勺,勺
芍,艹勺
少,小
绍,糸召
哨,口肖
奢,大者
赊,贝人示
舌,干口
蛇,虫它
舍,人舌
设,言殳
社,示土
射,身寸
涉,水步
赦,赤攵
摄,手聂
申,申
伸,人申
身,身
呻,口申
绅,糸申
罙,网木
深,水罙
神,示申
沈,水冘
审,宀申
婶,女审
肾,臤月
甚,甘匹
渗,水参
慎,心真
升,升
生,屮土
声,士尸
牲,牛生
胜,月生
笙,竹生
甥,生男
绳,糸黾
省,少目
圣,又土
盛,成皿
剩,乘刀
尸,尸
失,人
师,リ币
虱,飞虫
诗,言寺
施,於也
狮,犬师
湿,水显
十,十
什,人十
石,厂口
时,日寸
识,言只
实,宀头
拾,手合
蚀,食虫
食,亼皀
史,中又
矢,矢
豕,豕
使,人吏
始,女台
驶,马史
屎,尸米
士,士
氏,氏
世,廿十
市,入巾
示,示
式,弋工
事,史又
侍,人寺
势,执力
视,示见
试,言式
饰,食布
室,宀至
恃,心寺
拭,手式
是,日足
柿,木市
适,辶舌
逝,辶折
释,采睪
嗜,口耆
誓,折言
收,丩攵
手,手
守,宀寸
首,八自
寿,丰寸
受,爪冖又
兽,兽
售,隹口
授,手受
瘦,疒叟
书,又
殳,几又
抒,手予
叔,上小又
枢,木区
殊,歹朱
梳,木旈
淑,水叔
疏,足旈
舒,舍予
输,车俞
蔬,艹疏
秫,禾术
赎,贝卖
熟,烹丸
暑,日者
黍,禾入水
署,网者
鼠,鼠
蜀,网勹虫
薯,艹署
曙,日署
术,木
戍,戈人
束,木口
述,辶术
树,木对
竖,臤立
恕,如心
庶,广廿火
数,娄攵
墅,野土
漱,水欶
刷,尸巾刀
耍,而女
衰,衣冄
摔,手率
甩,用乚
帅,リ巾
蟀,虫率
拴,手全
栓,木全
涮,水刷
双,又
霜,雨相
爽,大乂
谁,言隹
水,水
税,禾兑
睡,目垂
吮,口允
顺,川页
舜,爪冖夅
瞬,目舜
说,言兑
烁,火乐
朔,屰月
欶,束欠
硕,石页
嗽,口欶
厶,厶
丝,糸一
司,人一口
私,禾厶
思,田心
斯,其斤
嘶,口斯
撕,手斯
死,歹匕
巳,巳
四,四
寺,土寸
伺,人司
似,人以
饲,食司
肆,镸聿
松,木公
耸,从耳
讼,言公
宋,宀木
诵,言甬
送,辶关
颂,公页
搜,手叟
艘,舟叟
叟,臼又
苏,艹办
酥,酉禾
俗,人谷
诉,言斥
肃,聿八
素,生糸
速,辶束
宿,宀人百
粟,西米
塑,朔土
溯,水朔
酸,酉夋
蒜,艹示
算,竹目廾
虽,口虫
随,辶阜有
髓,骨辶左月
岁,山夕
祟,出示
遂,辶八豕
碎,石卒
隧,阜遂
穗,禾惠
孙,子小
损,手员
笋,竹尹
唆,口夋
梭,木夋
嗦,口索
缩,糸宿
所,户斤
索,十冖糸
琐,王小贝
锁,金小贝
他,人也
它,宀匕
塌,土日羽
塔,土荅
踏,足水日
蹋,足日羽
胎,月台
台,厶口
抬,手台
苔,艹台
太,大
汰,水太
态,太心
泰,丰水
贪,今贝
摊,手难
滩,水难
瘫,疒难
坛,土云
昙,日云
谈,言炎
覃,西早
痰,疒炎
谭,言覃
潭,水覃
檀,木亶
坦,土旦
袒,衣旦
毯,毛炎
叹,口又
炭,山灰
探,手罙
碳,石炭
汤,水昜
唐,庚口
堂,尚土
棠,尚木
塘,土唐
搪,手唐
膛,月堂
糖,米唐
倘,人尚
淌,水尚
躺,身尚
烫,汤火
趟,走尚
涛,水寿
掏,手匋
滔,水舀
匋,勹缶
逃,辶兆
桃,木兆
陶,阜匋
淘,水匋
萄,艹匋
讨,言寸
套,大镸
特,牛寺
疼,疒冬
腾,月半马
誊,半言
滕,月半水
藤,艹滕
剔,易刀
梯,木弟
踢,足易
啼,口帝
提,手是
题,是页
蹄,足帝
体,人本
屉,尸世
剃,弟刀
涕,水弟
惕,心易
替,夫日
天,大一
添,水忝
田,田
恬,心舌
甜,舌甘
填,土真
忝,天心
舔,舌忝
挑,手兆
条,夂木
笤,竹召
跳,足兆
贴,贝占
铁,金失
帖,巾占
厅,厂丁
听,口斤
廷,廴壬
亭,京丁
庭,广廷
停,人亭
蜓,虫廷
挺,手廷
艇,舟廷
通,辶甬
同,冃口
彤,丹彡
桐,木同
铜,金同
童,立里
瞳,目童
统,糸充
捅,手甬
桶,木甬
筒,竹同
痛,疒甬
偷,人俞
头,大
投,手殳
透,辶秀
凸,凸
秃,禾几
突,穴犬
图,囗冬
徒,彳走
涂,水余
途,辶余
屠,尸者
土,土
吐,口土
兔,兔
团,囗才
推,手隹
颓,秃页
腿,月退
退,辶艮
蜕,虫兑
褪,衣退
吞,天口
屯,屮一
臀,殿月
乇,乇
托,手乇
拖,手人也
脱,月兑
驮,马大
驼,马它
鸵,鸟它
妥,爪女
椭,木阜有
拓,手石
唾,口垂
娃,女圭
挖,手穴乙
洼,水圭
蛙,虫圭
瓦,瓦
袜,衣末
歪,不正
外,夕卜
弯,亦弓
湾,水弯
豌,豆宛
丸,厂人
完,宀元
玩,王元
顽,元页
宛,宀夗
挽,手免
晚,日免
婉,女宛
惋,心宛
碗,石宛
万,万
腕,月宛
汪,水王
亡,人乚
王,王
网,网
往,彳主
枉,木王
妄,亡女
忘,亡心
旺,日王
望,亡月王
危,厃卩
威,戊一女
偎,人畏
微,彳山兀攵
薇,艹微
巍,山魏
囗,囗
为,力
韦,韦
围,囗韦
违,辶韦
桅,木危
唯,口隹
维,糸隹
厃,人厂
伟,人韦
伪,人为
尾,尸毛
纬,糸韦
苇,艹韦
委,禾女
萎,艹委
卫,卩一
未,木
位,人立
味,口未
畏,鬼爪
胃,田月
尉,尸示寸
谓,言胃
喂,口畏
猬,犬胃
蔚,艹尉
慰,尉心
魏,委鬼
昷,日皿
温,水昷
瘟,疒昷
文,文
纹,糸文
闻,门耳
蚊,虫文
吻,口勿
紊,文糸
稳,禾急
问,门口
翁,公羽
嗡,口翁
瓮,公瓦
涡,水呙
窝,穴呙
蜗,虫呙
我,禾戈
沃,水夭
卧,臣人
臥,二个
握,手屋
乌,鸟
污,水亏
呜,口乌
巫,工人
屋,尸至
诬,言巫
无,元
吴,口天
吾,五口
芜,艹无
梧,木吾
蜈,虫吴
五,乂二
午,午
伍,人五
坞,土乌
武,止弋
侮,人每
捂,手吾
鹉,武鸟
舞,人廾夅
兀,一儿
勿,勿
务,夂力
戊,戈
物,牛勿
误,言吴
悟,心吾
晤,日吾
雾,雨务
夕,夕
西,西
吸,口及
希,乂布
昔,廿日
析,木斤
奚,爪幺大
息,自心
牺,牛西
悉,采心
惜,心昔
晰,日析
犀,尸水牛
稀,禾希
溪,水奚
锡,金易
熄,火息
熙,臣巳火
嬉,女喜
膝,月桼
蟋,虫悉
习,羽
席,广廿巾
袭,龙衣
媳,女息
洗,水先
徙,彳止足
铣,金先
喜,壴口
戏,又戈
系,糸
细,糸田
隙,阜日小
虾,虫下
瞎,目害
匣,匚甲
侠,人夹
峡,山夹
狭,犬夹
暇,日叚
辖,车害
霞,雨叚
下,下
吓,口下
夏,目夂
厦,厂夏
仙,人山
先,牛儿
纤,糸千
掀,手欣
锨,金欣
鲜,鱼羊
闲,门木
弦,弓玄
贤,臤贝
咸,戊一口
涎,水延
舷,舟玄
衔,行金
嫌,女兼
显,日业
险,阜佥
县,且厶
现,王见
线,糸戋
臽,人臼
限,阜艮
宪,宀先
陷,阜臽
馅,食臽
羡,羊次
献,南犬
腺,月泉
乡,幺
相,木目
香,禾日
厢,厂相
湘,水相
箱,竹相
襄,衣口丰
镶,金襄
详,言羊
祥,示羊
翔,羊羽
享,亨
响,口向
想,相心
向,冂口
巷,共巳
项,工页
象,象
像,人象
橡,木象
削,肖刀
宵,宀肖
消,水肖
萧,艹肃
硝,石肖
销,金肖
箫,竹肃
嚣,口页
淆,水肴
小,小
晓,日尧
孝,耂子
肖,小月
哮,口孝
效,交攵
校,木交
笑,竹夭
啸,口肃
些,此二
楔,木契
歇,曷欠
蝎,虫曷
协,十办
邪,牙邑
胁,月办
挟,手夹
斜,余斗
谐,言皆
携,手隽
鞋,革圭
写,冖与
泄,水世
泻,水写
卸,午止卩
屑,尸肖
械,木戒
谢,言射
懈,心解
蟹,解虫
心,心
芯,艹心
辛,辛
欣,斤欠
锌,金辛
新,亲斤
薪,艹新
囟,囟
信,人言
衅,血半
兴,爪廾
星,日生
猩,犬星
腥,月星
刑,开刀
行,彳丁
邢,开邑
形,开彡
型,刑土
醒,酉星
杏,木口
姓,女生
幸,辛十
性,心生
凶,乂凵
兄,口儿
匈,勹凶
汹,水凶
胸,月匈
雄,厷隹
熊,能火
休,人木
修,攸彡
羞,羊丑
朽,木丂
秀,禾乃
绣,糸秀
袖,衣由
锈,金秀
胥,足月
须,彡页
虚,虍业
需,雨而
徐,彳余
许,言午
旭,九日
序,广予
叙,余又
恤,心血
畜,玄田
绪,糸者
续,糸卖
酗,酉凶
婿,女胥
絮,如糸
嗅,口臭
蓄,艹畜
轩,车干
宣,宀亘
喧,口宣
玄,入幺
悬,县心
旋,於足
漩,水旋
选,辶先
癣,疒鲜
炫,火玄
靴,革化
薛,艹垖辛
穴,宀八
学,冖子
雪,雨彐
血,皿
勋,员力
熏,重火
寻,彐寸
巡,辶川
旬,勹日
驯,马川
询,言旬
循,彳盾
训,言川
讯,言飞
汛,水飞
迅,辶飞
逊,辶孙
殉,歹旬
压,厂土
呀,口牙
押,手甲
鸦,牙鸟
鸭,甲鸟
牙,牙
芽,艹牙
厓,厂圭
蚜,虫牙
崖,山厓
涯,水厓
衙,行吾
哑,口亚
雅,牙隹
亚,亚
讶,言牙
咽,口因
烟,火因
淹,水奄
焉,焉
腌,月奄
蔫,艹焉
延,廴止
严,亚
言,三口
岩,山石
沿,水几口
炎,火
研,石开
盐,土卜皿
阎,门臽
蜒,虫延
颜,彦页
檐,木詹
奄,大电
衍,行水
掩,手奄
眼,目艮
演,水寅
厌,厂犬
妟,曰女
彦,产彡
砚,石见
唁,口言
宴,宀妟
艳,丰色
验,马佥
谚,言彦
堰,土匚妟
焰,火臽
雁,厂人隹
燕,燕
央,大冂
殃,歹央
秧,禾央
鸯,央鸟
扬,手昜
羊,羊
阳,阜日
杨,木昜
昜,勿一
洋,水羊
卬,卩
仰,人卬
养,羊八
氧,气羊
痒,疒羊
样,木羊
漾,水羊永
幺,幺
夭,大
吆,口幺
妖,女夭
腰,月要
邀,辶敫
尧,戈兀
肴,乂有
姚,女兆
窑,穴缶
谣,言窰
摇,手窰
遥,辶窰
窰,爪缶
咬,口交
舀,爪臼
药,艹约
要,西女
耀,光翟
椰,木耶
爷,父卩
耶,耳邑
也,也
冶,冫台
野,里予
业,业
叶,口十
页,页
夜,亦夕
枼,世木
掖,手夜
液,水夜
谒,言曷
腋,月夜
一,一
伊,人尹
衣,衣
医,匚矢
依,人衣
壹,士冖豆
揖,手咠
仪,人义
夷,大弓
宜,宀且
姨,女夷
胰,月夷
移,禾多
遗,辶贵
疑,匕矢足
乙,乙
已,巳
以,人
矣,厶矢
蚁,虫义
倚,人奇
椅,木奇
乂,乂
义,乂
亿,人乙
弋,弋
忆,心乙
艺,艹乙
议,言义
亦,亦
屹,山乞
异,巳廾
役,彳殳
抑,手卬
译,言睪
邑,口巴
易,日勿
绎,糸睪
奕,亦大
疫,疒殳
益,水皿
谊,言宜
異,田共
逸,辶兔
意,音心
溢,水益
肄,匕矢聿
毅,立豕殳
翼,羽異
乚,乚
因,囗大
阴,阜月
姻,女因
茵,艹因
音,言一
殷,身殳
冘,冖人
吟,口今
寅,宀田八
淫,水爪壬
银,金艮
廴,彳
尹,又
引,弓
饮,食欠
蚓,虫引
隐,阜急
瘾,疒隐
印,爪卩
应,广兴
英,艹央
莺,芁鸟
婴,贝女
缨,糸婴
樱,木婴
鹦,婴鸟
鹰,雁鸟
迎,辶卬
盈,乃又皿
荧,芁火
莹,芁玉
萤,芁虫
营,芁吕
蝇,虫黾
赢,亡口月贝凡
颖,禾顷
影,景彡
映,日央
硬,石更
哟,口约
佣,人用
拥,手用
庸,庚用
永,水
甬,用厶
咏,口永
泳,水永
勇,甬力
涌,水甬
蛹,虫甬
踊,足甬
用,用
优,人尤
忧,心尤
攸,人攵
幽,山幺
悠,攸心
尤,大
由,由
犹,犬尤
邮,由邑
油,水由
游,水於子
友,又又
有,又月
酉,酉
又,又
右,又口
幼,幺力
佑,人右
诱,言秀
迂,辶于
淤,水於
于,于
予,予
余,亼木
於,方人
鱼,鱼
俞,亼月刀
禺,禺
娱,女吴
渔,水鱼
隅,阜禺
愉,心俞
逾,辶俞
愚,禺心
榆,木俞
舆,臼车八
与,一勺
宇,宀于
屿,山与
羽,羽
雨,雨
禹,虫冂
语,言吾
玉,王
吁,口于
聿,又木
芋,艹于
育,子月
郁,有邑
狱,犬言犬
浴,水谷
预,予页
域,土或
欲,谷欠
喻,口俞
寓,宀禺
御,彳卸
裕,衣谷
遇,辶禺
愈,俞心
誉,兴言
豫,予象
冤,冖兔
鸳,夗鸟
渊,水米
元,一兀
员,口贝
园,囗元
爰,爪于又
原,厂泉
圆,囗员
袁,衣口
援,手爰
缘,糸豕
源,水原
猿,犬袁
辕,车袁
远,辶元
夗,夕卩
肙,口月
怨,夗心
院,阜完
愿,原心
曰,口
约,糸勺
月,月
戉,戈
岳,丘山
钥,金月
悦,心兑
阅,门兑
跃,足夭
粤,冂米亏
越,走戉
云,云
匀,勹二
耘,耒云
允,厶儿
陨,阜员
孕,乃子
运,辶云
晕,日军
酝,酉云
韵,音匀
蕴,艹糸昷
匝,匚巾
杂,九木
砸,石匝
灾,宀火
栽,木烖
烖,十戈
宰,宀辛
载,车烖
再,一冄
在,才土
咱,口自
攒,手赞
暂,斩日
赞,先贝
赃,贝庄
脏,月庄
葬,艹死
遭,辶曹
糟,米曹
凿,业半凵
早,日十
枣,朿
蚤,叉虫
澡,水喿
藻,艹澡
灶,火土
皂,白七
造,辶告
喿,品木
噪,口喿
燥,火喿
躁,足喿
则,贝刀
择,手睪
泽,水睪
责,王贝
贼,贝戎
怎,乍心
曾,曾
增,土曾
憎,心曾
赠,贝曾
喳,口查
渣,水查
扎,手乚
轧,车乚
闸,门甲
铡,金则
眨,目乏
乍,乍
诈,言乍
栅,木册
炸,火乍
榨,木窄
斋,文而
摘,手啇
宅,宀乇
翟,羽隹
窄,穴乍
债,人责
寨,宑木
沾,水占
毡,毛占
粘,米占
詹,厃八言
瞻,目詹
斩,车斤
展,尸廿衣
盏,戋皿
崭,山斩
占,卜口
战,占戈
栈,木戋
站,立占
绽,糸定
蘸,艹酉焦
张,弓长
章,立早
彰,章彡
樟,木章
涨,水张
掌,尚手
丈,十又
仗,人丈
帐,巾长
杖,木丈
胀,月长
账,贝长
障,阜章
招,手召
昭,日召
找,手戈
沼,水召
召,刀口
兆,兆
赵,走乂
照,昭火
罩,网卓
遮,辶庶
折,手斤
哲,折口
辙,车徹
者,耂日
这,辶文
浙,水折
蔗,艹庶
贞,卜贝
针,金十
侦,人贞
珍,王昣
真,十具
斟,甚斗
榛,木秦
诊,言昣
枕,木冘
昣,人彡
疹,疒昣
阵,阜车
振,手辰
镇,金真
震,雨辰
争,爪又
征,彳正
怔,心正
挣,手争
狰,犬争
睁,目争
筝,竹争
蒸,艹丞火
拯,手丞
整,束攵正
正,一止
证,言正
郑,关阜
政,正攵
症,疒正
之,之
支,十又
汁,水十
芝,艹之
吱,口支
枝,木支
知,矢口
织,糸只
肢,月支
脂,月旨
蜘,虫知
执,手丸
侄,人至
直,十目
值,人直
职,耳只
植,木直
殖,歹直
夂,夂
止,止
只,口八
旨,匕日
址,土止
纸,糸氏
指,手旨
趾,足止
至,一厶土
志,士心
豸,豸
制,未刀
帜,巾只
治,水台
质,斤贝
挚,执手
秩,禾失
致,至攵
掷,手郑
窒,穴至
智,知日
滞,水带
稚,禾隹
置,网直
中,中
忠,中心
终,糸冬
盅,中皿
钟,金中
衷,衣中
肿,月中
种,禾中
仲,人中
众,人
重,千里
州,川
舟,舟
周,用口
洲,水州
粥,弓米
轴,车由
肘,月寸
帚,帚
咒,口几
宙,宀由
昼,尺旦
皱,刍皮
骤,马聚
朱,木一
株,木朱
珠,王朱
诸,言者
猪,犬者
蛛,虫朱
竹,竹
烛,火虫
逐,辶豕
主,主
拄,手主
属,尸禹
煮,者火
嘱,口属
住,人主
助,且力
注,水主
贮,贝宀一
驻,马主
壴,十豆
柱,木主
祝,示兄
著,艹者
蛀,虫主
筑,竹巩
铸,金寿
抓,手爪
爪,爪
专,专
砖,石专
转,车专
赚,贝兼
撰,手巳共
妆,片女
庄,广土
桩,木庄
装,壮衣
壮,片士
状,片犬
幢,巾童
撞,手童
隹,隹
追,辶垖
椎,木隹
锥,金隹
坠,队土
缀,糸叕
赘,敖贝
谆,言享
准,冫隹
卓,上早
拙,手出
捉,手足
桌,卓木
灼,火勺
叕,叕
茁,艹出
浊,水虫
酌,酉勺
啄,口豕
着,羊目
琢,王豕
仔,人子
兹,幺
咨,次口
姿,次女
资,次贝
滋,水兹
籽,米子
子,子
姊,女弔
紫,此糸
滓,水宰
字,宀子
自,自
宗,宀示
综,糸宗
棕,木宗
踪,足宗
总,囱心
纵,糸从
走,人止
奏,丰天
揍,手奏
租,禾且
足,口止
卒,衣
族,於矢
诅,言且
阻,阜且
组,糸且
祖,示且
钻,金占
嘴,口此角
最,日取
罪,网非
醉,酉卒
尊,酋寸
遵,辶尊
昨,日乍
左,又工
作,人乍
坐,人土
座,广坐
做,人故
