扯,手止
亶,啚旦
旦,日一
但,人旦
诞,言延
弹,弓单
淡,水炎
蛋,足虫
氮,气炎
当,小彐
裆,衣当
挡,手当
党,尚儿
荡,艹汤
档,木当
刀,刀
叨,口刀
导,巳寸
岛,鸟山
倒,人到
捣,手岛
祷,示寿
蹈,足舀
到,至刀
悼,心卓
盗,次皿
道,辶首
稻,禾舀
得,彳旦寸
德,彳直心
的,白勺
灯,火丁
登,癶豆
蹬,足登
等,竹寺
邓,又邑
凳,登几
瞪,目登
低,人氐
堤,土是
嘀,口啇
滴,水啇
狄,犬火
敌,舌攵
涤,水条
笛,竹由
嫡,女啇
氐,氏
底,广氐
抵,手氐
地,土也
弟,八弔
帝,帝
递,辶弟
啇,帝口
第,竹弔
缔,糸帝
蒂,艹帝
掂,手店
颠,真页
典,册丌
点,占火
碘,石典
电,申乚
佃,人田
甸,勹田
店,广占
垫,执土
玷,王占
惦,心店
淀,水定
奠,酋大
殿,尸共殳
刁,刀
叼,口刁
碉,石周
雕,周隹
弔,弓
吊,口巾
钓,金勺
调,言周
掉,手卓
爹,父多
跌,足失
谍,言枼
叠,又宜
碟,石枼
蝶,虫枼
丁,丁
叮,口丁
盯,目丁
钉,金丁
顶,丁页
鼎,鼎
订,言丁
定,宀足
锭,金定
丢,去
东,木
冬,夂冫
董,艹重
懂,心董
动,云力
冻,冫东
栋,木东
洞,水同
都,者邑
兜,白儿
斗,斗
抖,手斗
陡,阜走
蚪,虫斗
豆,豆
逗,辶豆
痘,疒豆
督,叔目
毒,生母
读,言卖
牍,片卖
独,犬虫
堵,土者
赌,贝者
睹,目者
妒,女户
杜,木土
肚,月土
度,广廿又
渡,水度
镀,金度
耑,屮而
端,立耑
短,矢豆
段,爪殳
断,米斤
缎,糸段
锻,金段
垖,垖
堆,土隹
队,阜人
对,又寸
兑,八兄
吨,口屯
敦,享攵
墩,土敦
蹲,足尊
盹,目屯
囤,囗屯
盾,目又
钝,金屯
顿,屯页
多,夕
哆,口多
夺,大寸
踱,足度
朵,几木
垛,土朵
躲,身朵
堕,阜有土
舵,舟它
惰,心左月
跺,足朵
讹,言化
俄,人我
鹅,我鸟
蛾,虫我
额,客页
厄,厂卩
扼,手厄
咢,口亏
恶,亚心
饿,食我
愕,心咢
遏,辶曷
噩,王口
鳄,鱼咢
恩,因心
儿,儿
而,而
尔,人小
耳,耳
饵,食耳
二,一
贰,弋二贝
发,又
乏,乏
伐,人戈
罚,网言刀
阀,门伐
筏,竹伐
法,水去
帆,巾凡
番,采田
翻,番羽
凡,凡
矾,石凡
烦,火页
樊,乂木大
繁,敏糸
反,厂又
返,辶反
犯,犬卩
泛,水乏
饭,食反
范,艹水卩
贩,贝反
匚,匚
方,方
坊,土方
芳,艹方
防,阜方
妨,女方
房,户方
肪,月方
仿,人方
访,言方
纺,糸方
放,方攵
飞,飞
非,非
啡,口非
菲,艹非
肥,月巴
匪,匚非
诽,言非
吠,口犬
废,广发
沸,水弗
肺,月巿
费,弗贝
分,八刀
吩,口分
纷,糸分
芬,艹分
氛,气分
坟,土文
焚,林火
粉,米分
份,人分
奋,大田
忿,分心
愤,心贲
粪,米共
丰,丰
风,几乂
枫,木风
封,圭寸
疯,疒风
峰,山夆
锋,金夆
蜂,虫夆
冯,冫马
夆,夂丰
逢,辶夆
缝,糸逢
讽,言风
凤,几又
奉,丰廾
佛,人弗
缶,缶
否,不口
夫,大一
肤,月夫
尃,甫寸
麸,麦夫
孵,卵孚
敷,甫方攵
巿,巾十
弗,弔
伏,人犬
凫,鸟几
孚,爪子
扶,手夫
芙,艹夫
拂,手弗
服,月卩又
俘,人孚
畐,畐
浮,水孚
符,竹付
袱,衣伏
幅,巾畐
福,示畐
辐,车畐
蝠,虫畐
抚,手无
甫,用父
府,广付
斧,父斤
俯,人府
脯,月甫
辅,车甫
腐,府肉
父,又
付,人寸
妇,女彐
负,人贝
附,阜付
咐,口付
阜,阜
复,人日夂
赴,走卜
副,畐刀
傅,人尃
富,宀畐
赋,贝武
缚,糸尃
腹,月复
覆,西彳复
该,言亥
改,己攵
丐,下勹
钙,金丐
盖,羊皿
溉,水既
概,木既
干,干
甘,口一
杆,木干
肝,月干
柑,木甘
竿,竹干
秆,禾干
赶,走干
敢,耳攵
感,咸心
橄,木敢
倝,十旱人
冈,网
刚,冈刀
岗,山冈
纲,糸冈
肛,月工
缸,缶工
钢,金冈
港,水巷
杠,木工
羔,羊火
高,高
睪,又二
膏,高月
篙,竹高
糕,米羔
搞,手高
稿,禾高
镐,金高
告,牛口
戈,戈
疙,疒乞
哥,可
胳,月各
鸽,合鸟
割,害刀
搁,手阁
歌,哥欠
阁,门各
革,革
格,木各
鬲,鬲
葛,艹曷
蛤,虫合
隔,阜鬲
个,竹
各,夂口
给,糸合
根,木艮
跟,足艮
