6,绑架,bang3 jia4,to kidnap; to abduct; to hijack; a kidnapping; abduction; staking,
6,榜样,bang3 yang4,example; model; CL:個|个[ge4],
5,棒,bang4,a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,
6,磅,bang4,"see 磅秤 scale; platform balance; pound (unit of weight, about 454 grams)",
5,傍晚,bang4 wan3,in the evening; when night falls; towards evening; at night fall; at dusk,
3,包,bao1,"to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[ge4],隻|只[zhi1]",
6,包庇,bao1 bi4,shield; harbor; cover up,
6,包袱,bao1 fu5,cloth-wrapper; a bundle wrapped in cloth; load; weight; burden,
5,包裹,bao1 guo3,wrap up; bind up; bundle; parcel; package; CL:個|个[ge4],
5,包含,bao1 han2,to contain; to embody; to include,
4,包括,bao1 kuo4,to comprise; to include; to involve; to incorporate; to consist of,
6,包围,bao1 wei2,to surround; to encircle; to hem in,
6,包装,bao1 zhuang1,pack; package,
5,包子,bao1 zi5,steamed stuffed bun; CL:個|个[ge4],
5,薄,bao2,thin; cold in manner; indifferent; weak; light; infertile,
3,饱,bao3,to eat till full; satisfied,
5,宝贝,bao3 bei4,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,
5,保持,bao3 chi2,to keep; to maintain; to hold; to preserve,
5,保存,bao3 cun2,to conserve; to preserve; to keep; to save (a file etc) (computing),
6,保管,bao3 guan3,to assure; to guarantee; to take care of; to safeguard; certainly; surely,
5,宝贵,bao3 gui4,valuable; precious; value; treasure; set store by,
6,饱和,bao3 he2,saturation,
4,保护,bao3 hu4,to protect; to defend; to safeguard; protection; CL:種|种[zhong3],
6,饱经沧桑,bao3 jing1 cang1 sang1,having lived through many changes,
5,保留,bao3 liu2,to retain; to continue to have; to preserve; to maintain; to reserve; reservations; to hold back (approval or acceptance),
6,保密,bao3 mi4,to keep sth confidential; to maintain secrecy,
6,保姆,bao3 mu3,nanny; housekeeper,
6,保守,bao3 shou3,(politically) conservative; to guard; to keep,
6,保卫,bao3 wei4,to defend; to safeguard,
5,保险,bao3 xian3,insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4],
6,保养,bao3 yang3,to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance,
6,保障,bao3 zhang4,to ensure; to guarantee; to safeguard,
4,保证,bao3 zheng4,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[ge4],
6,保重,bao3 zhong4,take care of oneself,
4,抱,bao4,to hold; to carry (in one's arms); to hug or embrace; surround; cherish,
6,报仇,bao4 chou2,to revenge (oneself); to avenge,
6,报酬,bao4 chou5,reward; remuneration,
6,报答,bao4 da2,to repay; to requite,
6,报到,bao4 dao4,report for duty; check in; register,
4,报道,bao4 dao4,"report; CL:篇[pian1],份[fen4]",
6,爆发,bao4 fa1,to break out; to erupt; to explode; to burst out,
6,报复,bao4 fu4,to make reprisals; to retaliate; revenge; retaliation,
6,抱负,bao4 fu4,aspiration; ambition,
5,报告,bao4 gao4,"to inform; report; make known; speech; talk; lecture; CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]",
6,曝光,bao4 guang1,exposure (e.g. of photosensitive material); to expose (a scandal to the public),
6,暴力,bao4 li4,violence; (use) force; violent,
6,暴露,bao4 lu4,to expose; to reveal; to lay bare,
4,报名,bao4 ming2,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,
4,抱歉,bao4 qian4,sorry; We apologize!; to feel apologetic; to regret,
6,报社,bao4 she4,general office of a newspaper; newspaper office; CL:家[jia1],
6,报销,bao4 xiao1,submit an expense account; apply for reimbursement; write-off; wipe out,
6,抱怨,bao4 yuan4,to complain; to grumble,
6,爆炸,bao4 zha4,explosion; to explode; to blow up; to detonate,
2,报纸,bao4 zhi3,"newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]",
6,悲哀,bei1 ai1,grieved; sorrowful,
6,卑鄙,bei1 bi3,base; mean; contemptible; despicable,
6,悲惨,bei1 can3,miserable; tragic,
5,悲观,bei1 guan1,pessimistic,
1,杯子,bei1 zi5,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",
3,北方,bei3 fang1,north; the northern part a country; China north of the Yellow River,
6,北极,bei3 ji2,the North Pole; the Arctic Pole; the north magnetic pole,
1,北京,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government",
5,倍,bei4,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",
4,被,bei4,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),
3,背,bei4,the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory,
6,被动,bei4 dong4,passive,
6,备份,bei4 fen4,backup,
6,被告,bei4 gao4,defendant,
5,背景,bei4 jing3,background; backdrop; context; CL:種|种[zhong3],
6,贝壳,bei4 ke2,"shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bei4 qiao4, mostly written",
6,背叛,bei4 pan4,to betray,
6,背诵,bei4 song4,recite; repeat from memory,
6,备忘录,bei4 wang4 lu4,memorandum; aide-memoire; memorandum book,
5,被子,bei4 zi5,quilt; CL:床[chuang2],
6,奔波,ben1 bo1,rush about; be busy running about,
6,奔驰,ben1 chi2,"to run quickly; to travel quickly; to move fast; Mercedes-Benz, German car make",
1,本,ben3,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",
5,本科,ben3 ke1,undergraduate course; undergraduate (adjective),
4,本来,ben3 lai2,original; originally; at first; it goes without saying; of course,
5,本领,ben3 ling3,"skill; ability; capability; CL:項|项[xiang4],個|个[ge4]",
6,本能,ben3 neng2,instinct,
6,本钱,ben3 qian2,capital,
6,本人,ben3 ren2,the person himself; I (humble form used in speeches); oneself; myself; in person; personal,
6,本身,ben3 shen1,itself; in itself; per se,
6,本事,ben3 shi5,ability; skill; source material; original story,
6,本着,ben3 zhe5,based on...; in conformance with..; taking as one's main principle,
5,本质,ben3 zhi4,essence; nature; innate character; intrinsic quality,
4,笨,ben4,stupid; foolish; silly; slow-witted; clumsy,
6,笨拙,ben4 zhuo1,clumsy; awkward; stupid,
6,崩溃,beng1 kui4,to collapse; to crumble; to fall apart,
6,甭,beng2,need not; (contraction of 不 and 用),
6,蹦,beng4,to jump; to bounce; to hop,
6,迸发,beng4 fa1,to burst out; to gush; to spurt,
6,逼迫,bi1 po4,to force; to compel; to coerce,
6,鼻涕,bi2 ti4,nasal mucus; snivel,
3,鼻子,bi2 zi5,"nose; CL:個|个[ge4],隻|只[zhi1]",
2,比,bi3,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio",
5,彼此,bi3 ci3,each other; one another,
6,比方,bi3 fang5,analogy; instance,
4,笔记本,bi3 ji4 ben3,notebook; CL:本[ben3],
3,比较,bi3 jiao4,compare; contrast; fairly; comparatively; relatively; quite; rather,
5,比例,bi3 li4,proportion; scale,
5,比如,bi3 ru2,for example; for instance; such as,
3,比赛,bi3 sai4,"competition (sports etc); match; CL:場|场[chang3],次[ci4]",
6,比喻,bi3 yu4,metaphor; analogy; figure of speech; figuratively,
6,比重,bi3 zhong4,proportion; specific gravity,
6,臂,bi4,arm,
6,弊病,bi4 bing4,malady; evil; malpractice; drawback; disadvantage,
6,必定,bi4 ding4,be bound to; be sure to,
6,弊端,bi4 duan1,malpractice; abuse; corrupt practice,
5,毕竟,bi4 jing4,after all; all in all; when all is said and done; in the final analysis,
5,避免,bi4 mian3,to avert; to prevent; to avoid; to refrain from,
5,必然,bi4 ran2,inevitable; certain; necessity,
6,闭塞,bi4 se4,stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking,
5,必需,bi4 xu1,to need; to require; essential; indispensable,
3,必须,bi4 xu1,to have to; must; compulsory; necessarily,
5,必要,bi4 yao4,necessary; essential; indispensable; required,
4,毕业,bi4 ye4,graduation; to graduate; to finish school,
6,碧玉,bi4 yu4,jasper,
6,鞭策,bian1 ce4,to spur on; to urge on; to encourage sb (e.g. to make progress),
5,编辑,bian1 ji2,to edit; to compile; editor; compiler,
6,边疆,bian1 jiang1,border area; borderland; frontier; frontier region,
6,边界,bian1 jie4,boundary; border,
6,边境,bian1 jing4,frontier; border,
5,鞭炮,bian1 pao4,firecrackers; a string of small firecrackers; CL:枚[mei2],
6,边缘,bian1 yuan2,edge; fringe; verge; brink; periphery; marginal; borderline,
6,编织 ,bian1 zhi1,to weave; to knit; to plait; to braid,
