请客[請客]	qǐng kè	to invite someone (to dinner, coffee, etc.); to play the host [vo]
跳舞	tiào wǔ	to dance [vo]
逛街	guàng jiē	to windowshop [vo]
周末[週末]	zhōumò	weekend [n]
那	nà	in that case; then [conj]
电影[電影]	diànyǐng	movie [n]
电视[電視]	diànshì	television [n]
音乐[音樂]	yīnyuè	music [n]
//Integrated Chinese L1 Ch5
一下	yí xià	once; a bit [n+m]
一起	yìqǐ	together [adv]
了	le	(a dynamic particle) [p]
介绍[介紹]	jièshào	to introduce [v]
来[來]	lái	to come [v]
可以	kěyǐ	can; may [mv]
可口可乐[可口可樂]	Kěkǒukělè	Coca-Cola [pn]
可乐[可樂]	kělè	[Coke or Pepsi] cola [n]
吧	ba	(a sentence-final particle) [p]
呀	ya	(interjectory particle used to soften a question) [p]
咖啡	kāfēi	coffee [n]
哪儿[哪兒]	nǎr	where [qpr]
喝	hē	to drink [v]
回家	huí jiā	to go home [vo]
图书馆[圖書館]	túshūguǎn	library [n]
在	zài	at; in; on [prep]
坐	zuò	to sit [v]
学校[學校]	xuéxiào	school [n]
对不起[對不起]	duìbuqǐ	sorry [v]
快	kuài	quickly; fast, quick [adv/adj]
才	cái	not until, only then [adv]
杯	bēi	measure word for cup and glass
果汁	guǒzhī	fruit juice [n]
水	shuǐ	water [n]
汽水(儿)[汽水(兒)]	qìshuǐ(r)	soft drink; soda pop [n]
漂亮	piàoliang	pretty [adj]
玩(儿)[玩(兒)]	wán(r)	to have fun; to play [v]
瓶	píng	(measure word for bottles); bottle [m/n]
百事可乐[百事可樂]	Bǎishìkělè	Pepsi-Cola [pn]
矿泉水[礦泉水]	kuàngquánshuǐ	mineral water [n]
给[給]	gěi	to give [v]
聊天(儿)[聊天(兒)]	liáo tiān(r)	to chat [vo]
茶	chá	tea [n]
要	yào	to want [v]
进来[進來]	jìn	vc to come in [lai]
进[進]	jìn	to enter [v]
雪碧	Xuěbì	Sprite [pn]
高小音	Gāo Xiǎoyīn	(a personal name) [pn]
高兴[高興]	gāoxìng	happy, pleased [adj]
点(儿)[點(兒)]	diǎn(r)	a little, a bit; some [m]
//Integrated Chinese L1 Ch6
上午	shàngwǔ	morning [t]
下个[下個]	xià	next one [ge]
下午	xiàwǔ	afternoon [t]
中文	Zhōngwén	Chinese (language) [pn]
以后[以後]	yǐhòu	after [t]
但是	dànshì	but [conj]
位	wèi	polite measure word for people
俄文	Éwén	the Russian language [pn]
别[別]	bié	don’t [adv]
到	dào	to go to; to arrive [v]
哪	nǎ/něi	which [qpr]
啊	a	(a sentence-final particle) [p]
问题[問題]	wèntí	question; problem [n]
喂	wéi/wèi	(on telephone) Hello!; Hey! [interj]
回来[回來]	huí lai	to come back [vc]
在	zài	to be present; to be at (a place) [v]
客气[客氣]	kèqi	polite [adj]
就	jiù	precisely; exactly [adv]
希腊文[希臘文]	Xīlàwén	the Greek language [pn]
常老师[常老師]	Cháng lǎoshī	Teacher Chang [pn]
帮[幫]	bāng	to help [v]
年级[年級]	niánjí	grade in school [n]
得	děi	must; to have to [mv]
德文	Déwén	the German language [pn]
您	nín	you (honorific for 你) [pr]
意大利文	Yìdàlìwén	the Italian language [pn]
打电话[打電話]	dǎ diànhuà	to make a phone call [vo]
拉丁文	Lādīngwén	the Latin language [pn]
方便	fāngbiàn	convenient [adj]
日文	Rìwén	the Japanese language [pn]
时间[時間]	shíjiān	time [n]
法文	Fǎwén	the French language [pn]
准备[準備]	zhǔnbèi	to prepare [v]
空(儿)[空(兒)]	kòng(r)	free time [n]
等	děng	to wait; to wait for [v]
节[節]	jié	measure word for class periods
给[給]	gěi	to; for [prep]
练习[練習]	liànxí	to practice [v]
考试[考試]	kǎo shì	to give or take a test; test [vo/n]
葡萄牙文	Pútáoyáwén	the Portuguese language [pn]
行	xíng	all right; O.K. [v]
西班牙文	Xībānyáwén	the Spanish language [pn]
要是	yàoshi	if [conj]
要	yào	will, to be going to; to want to, to have a desire to [mv]
见面[見面]	jiàn miàn	to meet up; to meet with [vo]
说[説]	shuō	to say; to speak [v]
课[課]	kè	class; course; lesson [n]
跟	gēn	with [prep]
办公室[辦公室]	bàngōngshì	office [n]
开会[開會]	kāi huì	to have a meeting [vo]
韩文[韓文]	Hánwén	the Korean language [pn]
